scenario,model_key,n,p,s2,repeat,seed,config_id,varied_parameter,m,alpha,beta,k,precision_raw_local,recall_raw_local,f1_raw_local,r_miss_raw_local,n_selected_raw_local,precision_raw_global_max,recall_raw_global_max,f1_raw_global_max,r_miss_raw_global_max,n_selected_raw_global_max,precision_raw_global_se,recall_raw_global_se,f1_raw_global_se,r_miss_raw_global_se,n_selected_raw_global_se,precision_logml_local,recall_logml_local,f1_logml_local,r_miss_logml_local,n_selected_logml_local,precision_logml_global_max,recall_logml_global_max,f1_logml_global_max,r_miss_logml_global_max,n_selected_logml_global_max,precision_logml_global_se,recall_logml_global_se,f1_logml_global_se,r_miss_logml_global_se,n_selected_logml_global_se,status,error
bm1,binary,1000,50,1.0,21,1859629350,m_low,m,10,0.95,2.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,complete,
bm1,binary,1000,50,1.0,21,1859629350,m_high,m,50,0.95,2.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.125,0.2,0.15384615384615385,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.2,0.25,1.0,3.0,complete,
bm1,binary,1000,50,1.0,21,1859629350,beta_low,beta,20,0.95,1.0,2.0,0.14285714285714285,0.2,0.16666666666666666,1.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.2,0.2,0.20000000000000004,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.33333333333333337,1.0,1.0,complete,
bm1,binary,1000,50,1.0,21,1859629350,beta_high,beta,20,0.95,3.0,2.0,0.2,0.2,0.20000000000000004,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.3333333333333333,0.4,0.3636363636363636,1.0,6.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.5,0.4,0.4444444444444445,1.0,4.0,complete,
bm1,binary,1000,50,1.0,21,1859629350,k_low,k,20,0.95,2.0,1.0,0.16666666666666666,0.2,0.1818181818181818,1.0,6.0,0.0,0.0,0.0,1.0,1.0,0.25,0.2,0.22222222222222224,1.0,4.0,0.2,0.2,0.20000000000000004,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,complete,
bm1,binary,1000,50,1.0,21,1859629350,k_high,k,20,0.95,2.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.5,0.6,0.5454545454545454,1.0,6.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.2,0.25,1.0,3.0,complete,
bm1,binary,1000,50,1.0,22,119016441,reference,reference,20,0.95,2.0,2.0,0.1111111111111111,0.2,0.14285714285714285,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,complete,
bm1,binary,1000,50,1.0,22,119016441,m_low,m,10,0.95,2.0,2.0,0.2,0.2,0.20000000000000004,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.4,0.4,0.4000000000000001,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.2,0.25,1.0,3.0,complete,
bm1,binary,1000,50,1.0,22,119016441,m_high,m,50,0.95,2.0,2.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,complete,
bm1,binary,1000,50,1.0,22,119016441,beta_low,beta,20,0.95,1.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,complete,
bm1,binary,1000,50,1.0,22,119016441,beta_high,beta,20,0.95,3.0,2.0,0.2,0.2,0.20000000000000004,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,complete,
bm1,binary,1000,50,1.0,22,119016441,k_low,k,20,0.95,2.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.75,0.6,0.6666666666666665,1.0,4.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.5,0.2,0.28571428571428575,1.0,2.0,complete,
bm1,binary,1000,50,1.0,22,119016441,k_high,k,20,0.95,2.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,complete,
bm1,binary,1000,50,1.0,23,420540698,reference,reference,20,0.95,2.0,2.0,0.1111111111111111,0.2,0.14285714285714285,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.2,0.22222222222222224,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.33333333333333337,1.0,1.0,complete,
bm1,binary,1000,50,1.0,23,420540698,m_low,m,10,0.95,2.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.25,0.2,0.22222222222222224,1.0,4.0,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,0.2,0.33333333333333337,1.0,1.0,complete,
bm1,binary,1000,50,1.0,23,420540698,m_high,m,50,0.95,2.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.375,0.6,0.4615384615384615,1.0,8.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.5,0.2,0.28571428571428575,1.0,2.0,complete,
bm1,binary,1000,50,1.0,23,420540698,beta_low,beta,20,0.95,1.0,2.0,0.2857142857142857,0.4,0.3333333333333333,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.25,0.2,0.22222222222222224,1.0,4.0,0.6,0.6,0.6,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.2,0.25,1.0,3.0,complete,
bm1,binary,1000,50,1.0,23,420540698,beta_high,beta,20,0.95,3.0,2.0,0.3333333333333333,0.4,0.3636363636363636,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.4,0.4444444444444445,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,complete,
bm1,binary,1000,50,1.0,23,420540698,k_low,k,20,0.95,2.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.25,0.2,0.22222222222222224,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.2,0.25,1.0,3.0,complete,
bm1,binary,1000,50,1.0,23,420540698,k_high,k,20,0.95,2.0,3.0,0.1111111111111111,0.2,0.14285714285714285,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.3333333333333333,0.4,0.3636363636363636,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.5,0.2,0.28571428571428575,1.0,2.0,complete,
bm1,binary,1000,50,1.0,24,4055688446,reference,reference,20,0.95,2.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,complete,
bm1,binary,1000,50,1.0,24,4055688446,m_low,m,10,0.95,2.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0.20000000000000004,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.5,0.2,0.28571428571428575,1.0,2.0,complete,
bm1,binary,1000,50,1.0,24,4055688446,m_high,m,50,0.95,2.0,2.0,0.1111111111111111,0.2,0.14285714285714285,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.5,0.6,0.5454545454545454,1.0,6.0,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,0.2,0.33333333333333337,1.0,1.0,complete,
bm1,binary,1000,50,1.0,24,4055688446,beta_low,beta,20,0.95,1.0,2.0,0.25,0.2,0.22222222222222224,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4,0.5,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.33333333333333337,1.0,1.0,complete,
bm1,binary,1000,50,1.0,24,4055688446,beta_high,beta,20,0.95,3.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,complete,
bm1,binary,1000,50,1.0,24,4055688446,k_low,k,20,0.95,2.0,1.0,0.14285714285714285,0.2,0.16666666666666666,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.4,0.3636363636363636,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.5,0.4,0.4444444444444445,1.0,4.0,complete,
bm1,binary,1000,50,1.0,24,4055688446,k_high,k,20,0.95,2.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.4,0.4,0.4000000000000001,1.0,5.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.5,0.4,0.4444444444444445,1.0,4.0,complete,
bm1,binary,1000,50,1.0,25,3991390135,reference,reference,20,0.95,2.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0.20000000000000004,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.25,0.2,0.22222222222222224,1.0,4.0,complete,
bm1,binary,1000,50,1.0,25,3991390135,m_low,m,10,0.95,2.0,2.0,0.14285714285714285,0.2,0.16666666666666666,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.25,0.2,0.22222222222222224,1.0,4.0,0.42857142857142855,0.6,0.5,1.0,7.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.5,0.4,0.4444444444444445,1.0,4.0,complete,
bm1,binary,1000,50,1.0,25,3991390135,m_high,m,50,0.95,2.0,2.0,0.14285714285714285,0.2,0.16666666666666666,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.25,0.2,0.22222222222222224,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,complete,
bm1,binary,1000,50,1.0,25,3991390135,beta_low,beta,20,0.95,1.0,2.0,0.125,0.2,0.15384615384615385,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,complete,
bm1,binary,1000,50,1.0,25,3991390135,beta_high,beta,20,0.95,3.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.16666666666666666,0.2,0.1818181818181818,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.25,0.2,0.22222222222222224,1.0,4.0,complete,
bm1,binary,1000,50,1.0,25,3991390135,k_low,k,20,0.95,2.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,complete,
bm1,binary,1000,50,1.0,25,3991390135,k_high,k,20,0.95,2.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0.20000000000000004,1.0,5.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.5,0.2,0.28571428571428575,1.0,2.0,complete,
bm1,binary,1000,50,1.0,26,1392990887,reference,reference,20,0.95,2.0,2.0,0.16666666666666666,0.2,0.1818181818181818,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.25,0.2,0.22222222222222224,1.0,4.0,0.25,0.2,0.22222222222222224,1.0,4.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.5,0.2,0.28571428571428575,1.0,2.0,complete,
bm1,binary,1000,50,1.0,26,1392990887,m_low,m,10,0.95,2.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,complete,
bm1,binary,1000,50,1.0,26,1392990887,m_high,m,50,0.95,2.0,2.0,0.2,0.2,0.20000000000000004,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.5,0.2,0.28571428571428575,1.0,2.0,0.25,0.2,0.22222222222222224,1.0,4.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.5,0.2,0.28571428571428575,1.0,2.0,complete,
bm1,binary,1000,50,1.0,26,1392990887,beta_low,beta,20,0.95,1.0,2.0,0.125,0.2,0.15384615384615385,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,complete,
bm1,binary,1000,50,1.0,26,1392990887,beta_high,beta,20,0.95,3.0,2.0,0.14285714285714285,0.2,0.16666666666666666,1.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.5,0.4,0.4444444444444445,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.33333333333333337,1.0,1.0,complete,
bm1,binary,1000,50,1.0,26,1392990887,k_low,k,20,0.95,2.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.2,0.2,0.20000000000000004,1.0,5.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.5,0.2,0.28571428571428575,1.0,2.0,complete,
bm1,binary,1000,50,1.0,26,1392990887,k_high,k,20,0.95,2.0,3.0,0.1,0.2,0.13333333333333333,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.25,0.2,0.22222222222222224,1.0,4.0,0.125,0.2,0.15384615384615385,1.0,8.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.5,0.2,0.28571428571428575,1.0,2.0,complete,
bm1,binary,1000,50,1.0,27,4166051850,reference,reference,20,0.95,2.0,2.0,0.1111111111111111,0.2,0.14285714285714285,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.20000000000000004,1.0,5.0,0.2857142857142857,0.4,0.3333333333333333,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.5,0.4,0.4444444444444445,1.0,4.0,complete,
bm1,binary,1000,50,1.0,27,4166051850,m_low,m,10,0.95,2.0,2.0,0.125,0.2,0.15384615384615385,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.2,0.25,1.0,3.0,0.09090909090909091,0.2,0.12500000000000003,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.20000000000000004,1.0,5.0,complete,
bm1,binary,1000,50,1.0,27,4166051850,m_high,m,50,0.95,2.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.2857142857142857,0.4,0.3333333333333333,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,complete,
bm1,binary,1000,50,1.0,27,4166051850,beta_low,beta,20,0.95,1.0,2.0,0.3333333333333333,0.4,0.3636363636363636,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,complete,
bm1,binary,1000,50,1.0,27,4166051850,beta_high,beta,20,0.95,3.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.25,0.2,0.22222222222222224,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,complete,
bm1,binary,1000,50,1.0,27,4166051850,k_low,k,20,0.95,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.14285714285714285,0.2,0.16666666666666666,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,complete,
bm1,binary,1000,50,1.0,27,4166051850,k_high,k,20,0.95,2.0,3.0,0.09090909090909091,0.2,0.12500000000000003,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.14285714285714285,0.2,0.16666666666666666,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.5,0.2,0.28571428571428575,1.0,2.0,complete,
bm1,binary,1000,50,1.0,28,3078200712,reference,reference,20,0.95,2.0,2.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,complete,
bm1,binary,1000,50,1.0,28,3078200712,m_low,m,10,0.95,2.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0.20000000000000004,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,complete,
bm1,binary,1000,50,1.0,28,3078200712,m_high,m,50,0.95,2.0,2.0,0.14285714285714285,0.2,0.16666666666666666,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.20000000000000004,1.0,5.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.3333333333333333,0.2,0.25,1.0,3.0,complete,
bm1,binary,1000,50,1.0,28,3078200712,beta_low,beta,20,0.95,1.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.2,0.2,0.20000000000000004,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.33333333333333337,1.0,1.0,complete,
bm1,binary,1000,50,1.0,28,3078200712,beta_high,beta,20,0.95,3.0,2.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,complete,
bm1,binary,1000,50,1.0,28,3078200712,k_low,k,20,0.95,2.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.4,0.4,0.4000000000000001,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,complete,
bm1,binary,1000,50,1.0,28,3078200712,k_high,k,20,0.95,2.0,3.0,0.2857142857142857,0.4,0.3333333333333333,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.5,0.4,0.4444444444444445,1.0,4.0,0.5,0.8,0.6153846153846154,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.25,0.2,0.22222222222222224,1.0,4.0,complete,
bm1,binary,1000,50,1.0,29,2771110913,reference,reference,20,0.95,2.0,2.0,0.3333333333333333,0.4,0.3636363636363636,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.4,0.3636363636363636,1.0,6.0,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,0.4,0.5714285714285715,1.0,2.0,complete,
bm1,binary,1000,50,1.0,29,2771110913,m_low,m,10,0.95,2.0,2.0,0.16666666666666666,0.2,0.1818181818181818,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.4,0.3636363636363636,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,complete,
bm1,binary,1000,50,1.0,29,2771110913,m_high,m,50,0.95,2.0,2.0,0.2,0.4,0.26666666666666666,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.5,0.2,0.28571428571428575,1.0,2.0,0.25,0.4,0.3076923076923077,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.5,0.2,0.28571428571428575,1.0,2.0,complete,
bm1,binary,1000,50,1.0,29,2771110913,beta_low,beta,20,0.95,1.0,2.0,0.2857142857142857,0.4,0.3333333333333333,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.6,0.42857142857142855,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.6,1.0,5.0,complete,
bm1,binary,1000,50,1.0,29,2771110913,beta_high,beta,20,0.95,3.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.2,0.2,0.20000000000000004,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.5,0.2,0.28571428571428575,1.0,2.0,complete,
bm1,binary,1000,50,1.0,29,2771110913,k_low,k,20,0.95,2.0,1.0,0.2,0.2,0.20000000000000004,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.4,0.4444444444444445,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.5,0.2,0.28571428571428575,1.0,2.0,complete,
bm1,binary,1000,50,1.0,29,2771110913,k_high,k,20,0.95,2.0,3.0,0.16666666666666666,0.2,0.1818181818181818,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.3333333333333333,0.2,0.25,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.5,0.2,0.28571428571428575,1.0,2.0,complete,
